UC_Davis.f;245:0.012531641141925625
Davis.f;121:0.012095036645619383
Photo_Requests.f;21:0.010005169650531734
Sacramento.f;31:0.004211157972283187
Woodland.f;1040:0.0037101926172362775
ASUCD.f;80:0.0033439616773693363
City_Council.f;452:0.002939045523943525
Yolo_County.f;392:0.0028519543110487626
City_of_Davis.f;561:0.0026000483743869184
2007.f;8:0.00232839645157706
Interstate_80.f;884:0.0022128655448618857
West_Davis.f;100:0.0021601853903123985
South_Davis.f;169:0.0021414468766704706
Campus.f;72:0.002102821003127458
The_California_Aggie.f;202:0.0019612437930688247
East_Davis.f;157:0.001924317947810494
2006.f;942:0.0019153852146722647
ASUCD_Senate.f;997:0.0019152045581622005
Memorial_Union.f;645:0.0018363568992156743
2008.f;321:0.0016772259352740328
Arboretum.f;27:0.00164590162128443
2011.f;1200:0.001614013943999003
Picnic_Day.f;247:0.001561650816361865
KDVS.f;81:0.0015056238976085374
2010.f;1158:0.0014922640775283397
Davis_Enterprise.f;490:0.0014888722863243406
Town_Flora.f;179:0.0014843593592256982
North_Davis.f;145:0.0014764362795274613
2004.f;16:0.0014464177187010012
Winters.f;484:0.0014457534622739745
Highway_113.f;26:0.001415945743509914
Dentists.f;2883:0.0014109045135961955
Unitrans.f;708:0.0014018324692067884
Daubert.f;1403:0.0013911092149159778
Cul-de-sacs.f;3870:0.0013416687103964253
West_Sacramento.f;857:0.0012964188285625262
Dixon.f;1043:0.0012705540824278173
Front_Page.f;242:0.001265512165892171
Davis_Senior_High_School.f;337:0.0012462886228092485
Downtown.f;154:0.001216822365597036
2005.f;946:0.0012053366632570838
Apartments.f;152:0.001205011841737391
California.f;559:0.001197735680040371
Putah_Creek.f;20:0.0011952358937602017
2009.f;947:0.0011909598470392926
Davis_Food_Co-op.f;1153:0.001187036558914232
Pole_Line_Road.f;1755:0.0011864144043233166
2nd_Street.f;1365:0.001180409150266167
Bay_Area.f;3120:0.001147958182995069
Bicycling.f;132:0.0011322933234295
Music_Scene.f;125:0.0011274452070945994
UC_System.f;437:0.001122240160424799
Shields_Library.f;1370:0.0010969202460825618
User_Statistics.f;15492:0.0010541298699551587
2012.f;1202:0.001031636661832931
G_Street.f;320:0.0010186774653982496
Northern_California.f;1203:0.0010007583068453079
F_Street.f;271:9.982837830442607E-4
Davis_Police_Department.f;122:9.87009166592535E-4
The_Davis_Enterprise.f;246:9.705386561432078E-4
Bicycles.f;2100:9.679241975522626E-4
San_Francisco.f;3382:9.596632979294016E-4
2013.f;1201:9.399413445677284E-4
Vacaville.f;389:9.358393578452799E-4
Interpreting_User_Statistics.f;15686:9.338993367778783E-4
Central_Davis.f;69:9.272462912259324E-4
Spiritual_Organizations.f;3692:9.146347997108343E-4
Whole_Earth_Festival.f;713:9.043600958320601E-4
Delta_of_Venus.f;2523:8.957375478065534E-4
Central_Park.f;1570:8.814203022161117E-4
Davis_Joint_Unified_School_District.f;3087:8.747267512359898E-4
UCD.f;1831:8.679895901869085E-4
California_Aggie.f;36:8.627709047186703E-4
3rd_Street.f;1498:8.551312439335057E-4
Davis_Timeline.f;218:8.548073842743599E-4
Kemper_Hall.f;890:8.509518928113185E-4
Davis_High_School.f;794:8.416373791456129E-4
Mondavi_Center.f;5197:8.359357998039378E-4
Beauty_Salons_and_Barber_Shops.f;177:8.344084905858852E-4
2003.f;945:8.241400734248936E-4
The_Marketplace.f;2796:8.237471692470803E-4
School_of_Veterinary_Medicine.f;644:8.219098351816565E-4
Russell_Boulevard.f;277:8.178546169080303E-4
Spanish.f;3749:8.125638744908271E-4
5th_Street.f;1712:8.105892670859119E-4
ARC.f;2114:8.081132470806004E-4
Nugget.f;2824:8.026234579786495E-4
Mrak_Hall.f;1094:8.011557044623066E-4
University_Mall.f;808:7.979105947527777E-4
Tercero.f;1506:7.785911430568421E-4
UC_Berkeley.f;523:7.615163223321327E-4
Student_Organizations.f;184:7.608882910667413E-4
Mace_Boulevard.f;1455:7.600137410109285E-4
2002.f;944:7.590755785255825E-4
Safeway.f;806:7.573833012537733E-4
Target.f;1059:7.496258008206021E-4
E_Street.f;930:7.381090484037164E-4
Housing_Guide.f;1818:7.17604938767742E-4
Disambiguation.f;3783:7.109450400900949E-4
Bike_Paths.f;3674:6.97689083342268E-4
Central_California.f;6331:6.967402574592522E-4
Covell_Boulevard.f;334:6.913780704138849E-4
Anderson_Road.f;1658:6.884432420305134E-4
Coffee_House.f;710:6.872957683791676E-4
Restaurants.f;82:6.847350110069717E-4
2001.f;885:6.747912353003805E-4
Orphaned_Pages.f;17845:6.717022617572237E-4
Schools.f;71:6.712605269234292E-4
University_of_California.f;632:6.70162182393463E-4
2014.f;1197:6.681023235614154E-4
School_of_Law.f;695:6.666344166740579E-4
Photography.f;63:6.639937564966961E-4
Solano_County.f;6433:6.619949648784868E-4
Dogs.f;2069:6.545935104977207E-4
2000.f;907:6.499895301107037E-4
Massage_Services.f;4780:6.412571419506827E-4
King_Hall.f;3495:6.398720121273663E-4
Accepts_Davis_Dollars.f;2046:6.395364597960592E-4
Parks.f;181:6.338761483111716E-4
Post_Office.f;1495:6.295694907111012E-4
College_of_Agricultural_and_Environmental_Sciences.f;903:6.272275589141278E-4
Town_Wildlife.f;3003:6.232865399740804E-4
West_Covell_Boulevard.f;1654:6.217449964449673E-4
University_Farm.f;488:6.180474806364632E-4
UC_Davis_Police_Department.f;634:6.135068853314608E-4
Yolobus.f;3094:6.1338397941542E-4
Outgoing_Links.f;13657:6.125914909413479E-4
Home_Improvement_%26_Repair.f;3512:6.115591738859827E-4
ATMs.f;1771:6.090843872214663E-4
Community_Park.f;2843:6.069345207676865E-4
Center_for_Companion_Animal_Health.f;4684:6.062929088232591E-4
College_of_Engineering.f;253:6.043346549118646E-4
Interstate_5.f;3638:6.022521922794097E-4
Memorials.f;124:5.977522113855481E-4
Russell_Blvd..f;1825:5.959980808258948E-4
Farmers_Market.f;6098:5.894468958627485E-4
ASUCD_President.f;649:5.810758569762828E-4
Independent.f;2365:5.807278584376418E-4
Russell.f;1733:5.793249009453243E-4
LEAD.f;2359:5.752983412208858E-4
Wellman_Hall.f;262:5.739015753336315E-4
Hutchison_Drive.f;2084:5.717622572727151E-4
Activities_and_Recreation_Center.f;993:5.70379104783544E-4
Summer.f;5309:5.662543465261815E-4
East_Covell_Boulevard.f;4000:5.60246078813796E-4
Juvenile_Justice_System.f;3687:5.582521943542517E-4
Southern_California.f;3158:5.570853342512315E-4
Mansion_Square.f;2853:5.507364741059609E-4
G_Street_Pub.f;1251:5.495206775222964E-4
Amtrak.f;1442:5.427335212271541E-4
Anderson_Plaza.f;1659:5.41541542995755E-4
MU.f;1687:5.391408300026945E-4
A_Street.f;375:5.360820887896965E-4
Fraternities.f;929:5.342979781846282E-4
1909.f;510:5.335568696154069E-4
1868.f;428:5.327583973885888E-4
UCD_Administrative_Officers.f;126:5.276076979246277E-4
Oakshade_Town_Center.f;2804:5.249567116380175E-4
Starbucks.f;1859:5.220836624927496E-4
Silo.f;2767:5.1741120513094E-4
Birds_and_Bird_Watching.f;4387:5.171643339191099E-4
1917.f;536:5.117675529253594E-4
County_Road_102.f;829:5.112472160783929E-4
Davis_Farmers_Market.f;3700:5.10350821202215E-4
Village_Homes.f;800:5.088976739189402E-4
Experimental_College.f;2235:5.088731600717359E-4
